filename,blur
fypnbvdjytoeycwfkbof.jpg,1
uvrujzuyrklrsokmgmnc.jpg,1
oxvalbmdruepdvalmovq.jpg,1
rdqmlrqscqxevtllbwpl.jpg,1
oqpwiybzirgxxxlbvrag.jpg,1
fzlcmpfpfqymcngmwgwg.jpg,1
turudimbdmpzwxilfnwj.jpg,0
ejgrodzlnaxwirnyjvfu.jpg,0
fbjnxsvpqgnvumdbupcg.jpg,1
srldvfcqyidfrxuzital.jpg,1
tyueqyhoxyuzcjbqrwmh.jpg,0
eaufgfyvsgpqypnspety.jpg,1
qutogpwuagkheqvamzws.jpg,0
oyhrnzmcrjovzsuhczdy.jpg,1
hgickigemldelqcogvfr.jpg,0
vkryqewgmaqdngqlzwem.jpg,1
axwqnvsyiuqhfygkwmmo.jpg,0
wcvbltzsszqtdmtjztfq.jpg,1
plrgukhhquwtlqihygth.jpg,0
ijlvlptdaaanxuhrpeut.jpg,1
azhhybbdtoewbearimuo.jpg,1
pgyswjixhnotvoewligc.jpg,1
onotrkeirxodtyfksqrx.jpg,1
gfvupvcwdvgvmcumbtpc.jpg,1
ntmzebnnumhbdmxvraso.jpg,1
eirvpncabutrvlwveshx.jpg,1
curxlqokritvivupbvae.jpg,1
poaoduufrleadyyvvfhh.jpg,0
stzlxqyhnrmajkacdtjw.jpg,0
zecwhibsvhkuwhckmsng.jpg,0
wbgvxormngtwvwohlbhk.jpg,0
kbyyfjtyrwgpfkfeqnon.jpg,1
tjuxfnnsglwyajgdzrzx.jpg,1
gbyawdxamfqfinotvxik.jpg,1
ydgbunvfjuqwtxyfclhg.jpg,0
odnjjnyvmrmkxyofmrtz.jpg,0
bufbghzhgdgztfhplaek.jpg,1
mspkeatwihqzrorrkdey.jpg,0
mldswcksdrurhqxqtwhe.jpg,0
tpkcsfgpkutpyorbxnma.jpg,0
whbvjjzmmghmeckbokhd.jpg,1
gcgsnpzrwkjllaxpemix.jpg,1
pfxytdyeduqgiwwspztn.jpg,0
nitdhgrdlemypesgxzfr.jpg,0
ewnriytbnebfxwmoelpy.jpg,1
qejvwybanfltsrksevdp.jpg,0
mbzmgqotxtyivsbmiqdf.jpg,0
ngqcrsqhnijqivonkifp.jpg,1
hlaxqnowxihpxxzvkydj.jpg,0
yyqdsdvujtxxfvqzphml.jpg,1
ozhzrlikcoouivnfuthl.jpg,0
mzhfdjzggcrzcfssuany.jpg,1
odhzrppimlwcoxdolnjg.jpg,1
huayvjoskxwdzcouhosy.jpg,1
ojpeenpbtgpgugibecfy.jpg,1
